anio,mes,kwh_red,kwh_planta,kwh_turbina,rff_toneladas,nota
2024,1,4373,13134,93660,3729.38,
2024,2,2837,20929,113232,4945.09,
2024,3,2033,10154,123258,6172.95,
2024,4,9333,12881,101193,5237.86,
2024,5,14107,25466.9,41102,3285.17,
2024,6,14773,17671,50159,2675.25,
2024,7,18748,19426,46205,2808.9,
2024,8,10279,19594,50722,2475.71,
2024,9,12540,116348,0,5208.14,
2024,10,9991,71269,68209,5955.68,
2024,11,13530,85000,0,5559.08,
2024,12,3960,83450,0,5165.14,
2025,1,9240,117981,,4966.1,
2025,2,7590,77768,,3506.37,
2025,3,8250,10154,133258,6401.31,
2025,4,8910,36581,91159,5589.65,
2025,5,8580,139361.9,,5918.83,
2025,6,11220,9772,50215,2981.67,
2025,7,16170,98640,,4330.86,
2025,8,10560,112426,,4194.65,
2025,9,9240,109546,19789,5011.01,
2025,10,11823,36420,20156,5739.76,
2025,11,7929,106066,69030,7249.03,
2025,12,7589,146164,0,5386,
2026,1,13828,31115,118117,5320,
2026,2,8002,46351,71970,5010,
2026,3,6930,26864,156265,6394,
2026,4,9275,45820,134779,6796,
2026,5,4276,22627,136678,6107,
2026,6,4610,18426,126853,5732,
2026,7,4872,33629,101201,5468,
2026,8,1277,12363,63454,,turbina recalculada desde el acumulado (la hoja dice 67160)
